cue,count S,count Q
bg,3380,3380
L#,1934,1066
#H,920,1472
empty,706,438
#L,393,572
LL#,374,101
H#,313,1143
LH#,181,307
HL#,146,434
#HH,121,215
#HL,110,325
#LH,93,84
HLL#,36,19
LHL#,34,35
LLH#,29,33
LLL#,19,6
HH#,17,174
#LL,14,64
#LHH,11,15
#HHL,9,32
#HLL,8,29
#HLH,7,15
HLH#,7,22
HHL#,6,64
LHLL#,5,0
LHH#,5,62
#LHL,4,0
#HHH,2,16
LHLH#,2,0
HLLL#,2,5
#LLL,1,8
#LLH,1,0
LLLL#,1,0
LLLH#,1,0
HLLH#,1,0
HLHL#,1,0
HHLL#,1,5
HHH#,1,16
#LLLL,0,0
#LLLH,0,0
#LLHL,0,0
#LLHH,0,0
#LHLL,0,0
#LHLH,0,0
#LHHL,0,0
#LHHH,0,0
#HLLL,0,0
#HLLH,0,0
#HLHL,0,0
#HLHH,0,0
#HHLL,0,0
#HHLH,0,0
#HHHL,0,3
#HHHH,0,0
LLHL#,0,2
LLHH#,0,0
LHHL#,0,20
LHHH#,0,2
HLHH#,0,1
HHLH#,0,0
HHHL#,0,0
HHHH#,0,0
