cue,count S,count Q,weight,weight category
bg,3380,3380,0.18,question
#L,2233,1933,0.085,question
L#,1960,1558,0.028,statement
H#,1168,1659,0.205,question
#LH,1162,1075,0.071,statement
LL#,969,468,0.156,statement
#H,890,1344,0.189,question
LH#,797,835,0.136,statement
#LL,769,660,0.063,question
HL#,552,816,0.168,question
#LHL,544,512,0.133,question
#HL,425,643,0.067,question
#LLH,402,245,0.1,statement
LLL#,361,121,0.018,question
LLH#,345,257,0.06,statement
LHL#,336,318,0.032,statement
#LHH,320,382,0.091,question
#HH,307,533,0.047,question
HLL#,236,234,0.141,question
HH#,213,559,0.051,question
HLH#,208,276,0.018,question
#LHLH,183,170,0.002,question
#LLL,173,217,0.105,question
#HLH,168,230,0.013,statement
#LHLL,164,154,0.058,statement
#LLHL,162,76,0.052,question
#HHL,148,297,0.005,statement
LHLL#,145,55,0.079,statement
LHH#,134,282,0.045,question
#LHHL,132,166,0.066,question
LLHL#,118,87,0.061,statement
LHLH#,117,115,0.139,statement
#HLL,116,232,0.137,question
LLLH#,115,51,0.19,statement
LLLL#,110,23,0.068,statement
HLLL#,95,45,0.094,question
#LLHH,93,86,0.138,question
HLLH#,92,88,0.061,question
#HLHL,76,109,0.072,question
#LLLH,74,44,0.176,statement
HHL#,74,325,0.28,question
HLHL#,70,82,0.143,question
#HHH,60,110,0.181,statement
#LHHH,59,76,0.073,question
LHHL#,46,134,0.089,statement
LLHH#,45,93,0.064,statement
#HHLH,44,48,0.078,statement
#HLLH,37,46,0.103,statement
HLHH#,37,57,0.117,statement
#HHLL,30,139,0.264,question
#HLLL,29,56,0.01,question
#HLHH,29,40,0.061,statement
HHLH#,28,61,0.126,question
HHH#,28,157,0.097,question
#LLLL,24,74,0.084,question
empty,21,0,0.224,statement
HHLL#,20,135,0.458,question
#HHHL,19,71,0.338,question
LHHH#,12,83,0.083,question
#HHHH,9,20,0.185,question
HHHL#,5,86,0.133,question
HHHH#,4,33,0.138,question
