"","question","statement"
"#H",0.1118832999516,-0.111882099677739
"bg",0.508257208593264,0.491742423545432
"HL#",0.50449088506119,-0.504490754895972
"L#",-0.253800735811005,0.253800925657876
"H#",0.307045767431954,-0.307045532753873
"LH#",-0.207276359076644,0.207277454651232
"LLH#",-0.0450379415362051,0.0450285784524881
"#L",0.157626490374863,-0.15762588747864
"#HH",-0.0226884928045776,0.0226901343040925
"HHL#",0.086137814159019,-0.0861387997676674
"LL#",-0.0918208368411861,0.0918202854880154
"#LH",-0.186439383165684,0.186438812708825
"#LHH",0.0216307093831476,-0.0216307761472303
"empty",-0.0678122241184459,0.0678128654297798
"LHL#",-0.238754100948011,0.238751683518424
"#LL",0.161549033666204,-0.161539876733669
"HLH#",0.139931531104898,-0.139929029667261
"#HL",0.0686940583191486,-0.0686940235245024
"#HHH",0.258236966159537,-0.258276015283134
"#HHHL",-0.103635196654929,0.103851254515226
"HH#",0.00434254556850048,-0.00434241170529187
"HLL#",0.0920770567164268,-0.0920762252039544
"LHHL#",0.110755369208933,-0.110755071117263
"LHH#",0.0861150089205989,-0.0861137072311353
"#HLH",-0.0739352262791182,0.0739348290306137
"HHH#",0.152420902822441,-0.152414106178531
"#HHL",0.154287944330764,-0.154288871818132
"HHLL#",0.553325178792882,-0.553330199334804
"HLLL#",0.544776526970911,-0.544793508294625
"LLL#",-0.147876336972633,0.147882725229145
"#HLL",0.0200360549555008,-0.0200363949718348
"#LLH",-0.352936023902951,0.352361430370287
"#LLL",0.083669875933967,-0.0836782484732711
"LLHL#",0.488583462831654,-0.488458945308494
"LHLL#",-0.254634546577458,0.254633991748339
"#LHL",-0.324010430889485,0.324012075560038
"HLLH#",-0.291847733188445,0.292057861365386
"LLLH#",-0.291032423039603,0.291202870918177
"HLHH#",0.0196568670377586,-0.0197408982257349
"LHHH#",0.0720753059783756,-0.0721323148969311
"LLLL#",-0.0639943633571328,0.0639910936770415
"LHLH#",-0.61674253139876,0.616703233932032
"HLHL#",-0.340617192580503,0.340618131399199
