"","statement","question"
"#L",-0.0557719884524297,0.0557719885854076
"#LL",-0.0726175555691325,0.0726175555370996
"#LLH",0.126990635758169,-0.126990635699123
"#LLHL",-0.00234834188257108,0.00234834198585005
"bg",0.759855315109497,0.240144684533419
"H#",-0.191557673057299,0.19155767321277
"HLLH#",-0.0126028200809655,0.0126028201201923
"LH#",0.0932902080075806,-0.0932902080633875
"LLH#",0.0784862660511636,-0.0784862660794388
"#LH",-0.0174092404945138,0.0174092405289355
"#LHL",-0.165467571146705,0.165467571117934
"L#",-0.0276929267749616,0.0276929269386912
"LL#",0.154700557490122,-0.154700557557903
"LLL#",-0.0242321791390447,0.0242321791867659
"#LHH",-0.104738319943827,0.104738319918738
"#LHHL",-0.109286211489782,0.109286211414548
"HLLL#",-0.104395984819258,0.104395984762239
"#LHLL",0.00290632342253792,-0.00290632344857254
"HL#",-0.133869251437981,0.133869251487694
"#LLL",-0.1260551098274,0.126055109845914
"#LLLL",-0.0886232352007501,0.0886232350217353
"HH#",-0.0797695231099368,0.0797695237233924
"LHH#",-0.0291558990299207,0.0291558983427037
"LLHH#",0.0135761797759815,-0.0135761797909935
"HLH#",-0.0797835217276592,0.0797835216569882
"LHLH#",0.088724111743199,-0.0887241117255393
"HHLL#",-0.555857234461611,0.555857234339347
"HLL#",-0.0865512730370899,0.0865512730338224
"#H",-0.183878809963355,0.183878810263926
"#HL",-0.049072117368683,0.0490721172854668
"#HLL",-0.130281251796137,0.13028125191302
"HHL#",-0.297070839413625,0.297070839175813
"LHHL#",0.0332788421349356,-0.033278842084751
"LHLL#",0.0897137786340312,-0.089713778672993
"#HH",-0.0434337832527542,0.0434337835267305
"#HHL",-0.0393825740138684,0.0393825736298031
"#HHLL",-0.279401596884421,0.279401597004421
"LHL#",0.109394736178121,-0.109394736323311
"#HHH",0.0833787869582675,-0.0833787907739789
"#HHHL",-0.276130446329056,0.276130450373824
"#LLLH",0.158474428559948,-0.15847442856974
"#HHLH",0.0575620557884265,-0.0575620557523719
"#LHLH",0.0061507335188442,-0.00615073340155319
"#LLHH",-0.141889425215228,0.141889425203469
"LLLH#",0.136419557375973,-0.136419557419789
"HLHH#",0.0958095441322246,-0.0958095441015167
"LLHL#",0.0689226402647279,-0.0689226402808312
"#HLH",-0.0243084833402971,0.0243084833487348
"#HLHL",-0.0926282047460765,0.0926282046949498
"HHH#",-0.0781571017329985,0.0781570972173038
"HHHH#",-0.146358026809958,0.146358032822578
"HHLH#",-0.0772960874520377,0.0772960875106752
"LHHH#",-0.110196982871973,0.110196987740665
"#HLHH",0.0631937245444911,-0.063193724643541
"HLHL#",-0.000713235725154863,0.00071323576749991
"LLLL#",0.0683575493631563,-0.0683575494203469
"empty",0.217810048268792,-0.217810046073775
"#LHHH",-0.0483000499124138,0.0483000498217006
"#HLLL",-0.000114586096155251,0.000114585976257904
"#HLLH",0.0904304896489288,-0.0904304897223235
"HHHL#",-0.167901176599149,0.167901176954293
"#HHHH",-0.167937410822995,0.167937416154532
