Cues,Outcomes
H#_bg,question
bg,question
bg,question
#H_H#_bg,question
H#_bg,question
H#_bg,question
#H_H#_HH#_bg,question
bg,question
L#_LL#_LLL#_LLLL#_bg,question
#H_H#_bg,question
H#_HH#_bg,question
bg,question
bg,question
L#_LL#_bg,question
H#_bg,question
H#_bg,question
bg,question
#H_bg,question
bg,question
#L_bg,question
bg,question
#L_bg,question
bg,question
#H_#HL_H#_bg,question
bg,question
#L_L#_bg,question
#L_H#_bg,question
#H_H#_bg,question
#H_#HH_bg,question
#H_H#_HH#_bg,question
L#_LL#_LLL#_bg,question
bg,question
#H_H#_HH#_HHH#_bg,question
bg,question
#L_L#_HL#_LHL#_bg,question
bg,question
bg,question
#L_H#_HH#_bg,question
bg,question
H#_bg,question
bg,question
#H_H#_HH#_HHH#_LHHH#_bg,question
H#_LH#_LLH#_bg,question
#H_L#_bg,question
#L_#LL_#LLL_bg,question
H#_bg,question
#H_H#_bg,question
bg,question
H#_HH#_bg,question
#L_H#_bg,question
#H_#HH_bg,question
H#_HH#_bg,question
H#_bg,question
#H_L#_LL#_bg,question
#H_bg,question
#L_H#_bg,question
H#_HH#_bg,question
bg,question
H#_HH#_bg,question
bg,question
H#_bg,question
bg,question
L#_bg,question
#L_#LL_H#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#H_H#_LH#_bg,question
#L_#LL_bg,question
H#_bg,question
bg,question
#H_#HH_bg,question
H#_bg,question
#L_#LL_bg,question
L#_LL#_bg,question
bg,question
#H_#HL_H#_LH#_bg,question
H#_bg,question
bg,question
bg,question
H#_HH#_bg,question
#H_H#_bg,question
#H_H#_bg,question
#H_#HH_#HHH_#HHHH_H#_HH#_bg,question
#H_H#_bg,question
H#_bg,question
#H_H#_HH#_bg,question
bg,question
L#_bg,question
H#_bg,question
#H_bg,question
bg,question
#L_bg,question
#L_#LL_bg,question
bg,question
#L_bg,question
#H_#HH_H#_bg,question
#L_#LL_H#_bg,question
#H_#HH_#HHH_#HHHH_H#_HH#_bg,question
bg,question
H#_HH#_bg,question
bg,question
#L_bg,question
#L_#LL_bg,question
bg,question
