"","statement","question"
"#L",0.24604916129827,0.121920769234974
"#LL",0.304039471469741,-0.128962778411085
"L#",0.250815287840878,0.0993653378518509
"LL#",0.0763427109356027,0.0565039722549781
"H#",0.106114821071505,0.232713444802795
"HH#",0.0538246224750777,0.0742071613684228
"#H",0.174232456753959,0.202526503789997
"#HL",-0.0457289072839932,0.232356011163837
"LH#",0.156411598540864,-0.00268484046725596
"#LH",-0.0587534996140377,0.216112053796629
"HL#",0.0549487154733567,0.0766665332699982
"#HH",0.127942612095832,-0.0152545088069755
