TQ,FQ,TS,FS
144,318,351,90
138,312,366,87
223,554,102,24
140,345,330,88
205,581,103,14
122,340,348,93
134,326,350,93
146,318,353,86
149,307,354,93
229,591,77,6
143,358,327,75
159,336,323,85
143,324,358,78
147,319,344,93
114,326,378,85
119,314,371,99
141,338,339,85
0,0,653,250
135,292,379,97
11,38,636,218
151,312,354,86
160,339,326,78
143,314,364,82
219,615,60,9
135,305,379,84
17,63,629,194
144,317,357,85
208,577,104,14
127,289,389,98
17,58,626,202
128,324,366,85
137,305,378,83
134,332,344,93
139,331,345,88
6,29,647,221
158,341,315,89
209,617,68,9
152,358,326,67
133,302,383,85
146,307,363,87
