TQ,FQ,TS,FS
146,103,566,88
141,158,520,84
156,140,516,91
128,104,571,100
123,102,582,96
125,56,632,90
131,61,615,96
129,110,561,103
165,181,480,77
129,84,584,106
120,83,602,98
155,153,506,89
145,180,502,76
145,120,543,95
110,71,633,89
152,165,520,66
114,91,586,112
177,158,495,73
136,107,564,96
125,98,576,104
154,172,494,83
148,135,530,90
140,147,531,85
119,68,607,109
126,83,601,93
118,82,610,93
145,123,551,84
157,188,493,65
157,189,489,68
160,208,476,59
145,160,530,68
131,102,581,89
122,90,586,105
126,93,583,101
120,79,597,107
150,121,535,97
154,184,501,64
148,197,487,71
140,86,599,78
129,74,596,104
