"","question","statement"
"#H",0.0895206490576369,-0.0895206162719226
"#HH",0.0413023409200577,-0.0413023458519364
"bg",0.497071310213746,0.502928655325434
"H#",0.230654021443881,-0.230654012913522
"LH#",-0.226711251829432,0.226711250290369
"#L",-0.140239259618219,0.140239292599838
"#LH",0.124187138190289,-0.124187143295463
"#HL",-0.00426332576961822,0.00426332086018774
"L#",-0.129928016518002,0.129928024620306
"LL#",-0.0657906075475451,0.0657906066791569
"HL#",0.143854953839176,-0.143854955161765
"HH#",-0.0130426747938487,0.0130426728700304
"#LL",0.0650335863693518,-0.0650335915056523
