"","statement","question"
"#L",-0.15409097845393,0.154090994205229
"#LL",-0.0375206017046381,0.0375205892403221
"#LLH",0.166007147132813,-0.166007141103665
"bg",0.731334222558508,0.268665786712676
"HL#",-0.358157057049807,0.35815704568026
"HLHL#",-0.103388313531063,0.103388317890984
"L#",0.0915807714438921,-0.0915807880096935
"LHL#",0.038998529814717,-0.0389985337100232
"#H",-0.180016824027402,0.180016849042127
"H#",-0.181921994101426,0.181922007503957
"LH#",0.197853594637308,-0.197853591713496
"#LH",0.0752889369208242,-0.0752889407262628
"#LHL",-0.109113770852643,0.10911376720212
"#LHLL",-0.0883155568181185,0.0883155582652178
"#LLHL",-0.0540323626331839,0.0540323609642591
"HH#",-0.0234587108776445,0.0234586919751911
"HHH#",-0.118070192837429,0.118070359616461
"LHHH#",-0.0725896413002819,0.0725894570424804
"#LHH",-0.153589627539834,0.153589639746412
"LHH#",-0.0447973149757039,0.0447973415763592
"LLHH#",0.138378978452468,-0.138378986407103
"#HH",-0.107855574611328,0.107855725380745
"#HHH",0.233684745705602,-0.233687999200024
"#HHHL",-0.183525517257879,0.183529384992898
"HLH#",-0.0846353174172599,0.0846353990046241
"LHLH#",0.117293147895893,-0.117293225961655
"#LHHL",-0.1026199079312,0.102619901496707
"LLH#",0.215583007060933,-0.21558305342728
"LLLH#",-0.0392296920242591,0.0392297243068424
"LL#",0.0376327088681283,-0.0376327185081349
"LLL#",0.0219362919658443,-0.0219362571278284
"HLL#",-0.117297405842536,0.117297418466562
"LHLL#",0.0757347612071106,-0.0757347608930785
"#HHL",-0.0888714525976364,0.0888713031674055
"HHLL#",-0.465329833756734,0.465329775089283
"#LHLH",-0.0242447263984671,0.0242447212173932
"#HL",-0.106247158329497,0.106247163947541
"#HLH",-0.0988276209923707,0.0988276118911521
"#HLHL",-0.0575706896441244,0.057570692282414
"#LHHH",-0.0898577249008598,0.0898577834874909
"HHL#",-0.249314125490628,0.249314201459052
"#HLL",-0.0490010749135264,0.0490010640017001
"#HHLL",-0.146659109209588,0.146659093611256
"LLHL#",0.130244947393211,-0.130244963400111
"#HLLH",0.0688751688612424,-0.0688751607152022
"#LLL",-0.133481246380514,0.133481249725089
"#LLLH",0.304676343029003,-0.30467634546486
"HLHH#",-0.061742767446445,0.0617427682771879
"#LLHH",-0.00243943714956763,0.00243943549593249
"LLLL#",-0.029018030684641,0.0290180671077484
"HHHL#",-0.112634206866988,0.112634156627752
"LHHL#",0.115992872570128,-0.115992947101713
"HLLL#",-0.206199911046255,0.206199865230882
"HLLH#",-0.163423836782083,0.163423870183557
"HHHH#",0.0205714429978436,-0.0205722459868913
"HHLH#",0.0739342017654255,-0.0739342888850341
"#HLHH",0.203616171756779,-0.203616168325536
"#HLLL",-0.0230418058275963,0.0230417989707994
"#LLLL",0.00428354124596186,-0.00428355147751239
"#HHLH",0.167682768688724,-0.167682755057533
"#HHHH",-0.283115541107118,0.283120774050128
