"","question","statement"
"#H",0.198706080099676,0.407341242632068
"#HH",0.00864196976830219,-0.0011699732812741
"H#",0.310073837077534,0.0871069100564173
"LH#",-0.229578106134233,0.224943621922058
"#L",0.07624314984427,0.514625158461615
"#LL",0.116224312856975,-0.0951796598279649
"#LH",0.085814398711696,-0.0700651872662322
"HL#",0.131847066561748,-0.133520320787308
"L#",0.0201876714995986,0.37471718756329
"LL#",-0.0201824376645518,0.0159755542880502
"HH#",-0.00634673673886715,-0.00351802267885081
"#HL",0.0473979992946509,-0.0358666290951781
