"","statement","question"
"#L",0.475392177807302,0.0683006163370965
"#LH",-0.110642047080296,0.112544071915942
"L#",0.374935377102988,0.0886346801333255
"LL#",0.0480796889302674,-0.048019990628227
"#H",0.381695073959891,0.184891976984451
"#HL",-0.0360833058476004,0.0102768909137677
"H#",0.154041468403297,0.309111001979539
"LH#",0.171668559542864,-0.18086533891911
"HL#",-0.117640090580226,0.112771052566468
"#LL",-0.0495245289740079,0.0526361729184154
"#HH",0.000103101184977015,-0.0269318212423602
"HH#",0.0248692365762514,-0.0356851727729621
