Cues,Outcomes
#H_L#_LL#_bg,statement
#L_L#_HL#_bg,statement
#L_H#_LH#_bg,question
#L_L#_LL#_bg,statement
#L_L#_HL#_bg,statement
#L_L#_HL#_bg,statement
#L_L#_LL#_bg,question
#H_H#_HH#_bg,question
L#_LL#_bg,statement
#H_H#_LH#_bg,question
#L_L#_HL#_bg,question
#L_L#_LL#_bg,statement
#L_L#_HL#_bg,question
#L_L#_LL#_bg,question
#H_L#_HL#_bg,statement
#H_H#_LH#_bg,question
#H_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#H_L#_LL#_bg,statement
#L_H#_LH#_bg,question
#L_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#L_H#_HH#_bg,statement
#H_H#_LH#_bg,statement
#L_L#_LL#_bg,statement
#H_L#_LL#_bg,statement
#H_H#_LH#_bg,statement
#H_L#_LL#_bg,question
#L_H#_LH#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,question
#L_L#_HL#_bg,question
#L_H#_LH#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_HL#_bg,question
#L_L#_LL#_bg,statement
#L_H#_HH#_bg,question
#L_L#_HL#_bg,statement
L#_HL#_bg,statement
#L_L#_HL#_bg,statement
#L_L#_LL#_bg,statement
#L_H#_HH#_bg,statement
#L_L#_LL#_bg,statement
#H_L#_LL#_bg,question
#H_H#_LH#_bg,statement
#H_H#_HH#_bg,statement
#H_L#_LL#_bg,statement
#H_L#_LL#_bg,statement
#L_L#_HL#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_HL#_bg,statement
#L_L#_HL#_bg,statement
#H_H#_LH#_bg,statement
#L_H#_LH#_bg,statement
#H_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_LL#_bg,question
#H_L#_bg,statement
#L_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_HL#_bg,statement
#L_L#_HL#_bg,statement
#H_L#_LL#_bg,statement
#H_L#_LL#_bg,question
#L_L#_HL#_bg,statement
#H_L#_LL#_bg,statement
#L_L#_HL#_bg,statement
#H_H#_HH#_bg,question
#L_H#_LH#_bg,question
#H_H#_LH#_bg,statement
#L_L#_HL#_bg,question
#H_H#_LH#_bg,statement
#L_L#_HL#_bg,question
#L_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#L_H#_HH#_bg,statement
#H_H#_HH#_bg,question
#L_L#_LL#_bg,statement
#H_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_H#_bg,question
#L_L#_LL#_bg,statement
#L_H#_LH#_bg,question
#L_H#_LH#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_bg,statement
#H_L#_LL#_bg,statement
#H_H#_LH#_bg,question
#L_L#_HL#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_HL#_bg,statement
#L_H#_LH#_bg,statement
H#_LH#_bg,statement
#L_H#_LH#_bg,statement
#H_L#_HL#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_HL#_bg,question
#L_H#_HH#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_bg,question
#L_L#_LL#_bg,question
#L_H#_LH#_bg,statement
#L_H#_HH#_bg,question
#H_L#_LL#_bg,question
#H_H#_LH#_bg,question
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_HL#_bg,statement
#H_L#_HL#_bg,question
#H_L#_HL#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_HL#_bg,question
#H_H#_LH#_bg,statement
#H_H#_LH#_bg,statement
#L_H#_LH#_bg,question
#L_H#_LH#_bg,statement
#L_H#_HH#_bg,statement
#H_bg,statement
#L_L#_bg,statement
#H_L#_LL#_bg,statement
#L_L#_LL#_bg,question
#L_H#_LH#_bg,statement
#H_H#_LH#_bg,question
#H_H#_LH#_bg,question
#L_L#_LL#_bg,question
#H_L#_HL#_bg,statement
#L_H#_HH#_bg,statement
#H_bg,statement
#L_H#_LH#_bg,question
#L_H#_LH#_bg,statement
#L_L#_bg,question
#H_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_LL#_bg,statement
#L_H#_HH#_bg,question
#L_H#_LH#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_H#_HH#_bg,statement
#L_H#_LH#_bg,statement
#L_bg,statement
#L_H#_LH#_bg,statement
#L_L#_HL#_bg,statement
#L_H#_HH#_bg,question
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#H_H#_HH#_bg,statement
#L_L#_HL#_bg,statement
#L_L#_LL#_bg,statement
#H_L#_HL#_bg,question
#L_L#_HL#_bg,statement
#H_H#_LH#_bg,statement
#H_L#_HL#_bg,statement
#L_L#_bg,statement
#L_H#_LH#_bg,statement
#H_L#_HL#_bg,question
#L_H#_LH#_bg,statement
#L_L#_HL#_bg,statement
#H_L#_LL#_bg,statement
#H_H#_HH#_bg,statement
#L_L#_LL#_bg,statement
#H_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#H_L#_HL#_bg,statement
#L_H#_LH#_bg,question
#H_H#_LH#_bg,question
#L_H#_HH#_bg,statement
#L_L#_HL#_bg,statement
#L_H#_LH#_bg,question
#L_L#_HL#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_HL#_bg,statement
#L_L#_bg,statement
#L_H#_LH#_bg,statement
#H_L#_HL#_bg,statement
#H_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#L_H#_HH#_bg,question
#L_L#_LL#_bg,question
#L_H#_LH#_bg,statement
#H_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#H_L#_bg,statement
#L_L#_HL#_bg,statement
#L_bg,question
#H_L#_LL#_bg,statement
#L_L#_HL#_bg,statement
#H_L#_HL#_bg,statement
#L_H#_LH#_bg,statement
#L_H#_HH#_bg,question
#L_L#_LL#_bg,question
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_H#_LH#_bg,question
#L_L#_LL#_bg,question
#L_L#_HL#_bg,question
#L_L#_bg,statement
#H_L#_HL#_bg,statement
#H_L#_HL#_bg,statement
#H_L#_LL#_bg,statement
#L_L#_HL#_bg,question
#H_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_bg,statement
#L_H#_HH#_bg,statement
#L_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#H_L#_HL#_bg,statement
#H_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_LL#_bg,question
#H_L#_HL#_bg,statement
#L_L#_LL#_bg,statement
#H_L#_LL#_bg,statement
#H_H#_LH#_bg,statement
#L_H#_LH#_bg,statement
#L_H#_HH#_bg,statement
#L_L#_LL#_bg,statement
#H_H#_HH#_bg,question
#H_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_HL#_bg,statement
#L_H#_LH#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_H#_HH#_bg,statement
#H_H#_LH#_bg,statement
#L_H#_LH#_bg,question
#L_H#_HH#_bg,statement
#L_L#_LL#_bg,question
#L_H#_HH#_bg,question
#L_L#_HL#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_HL#_bg,statement
#L_L#_HL#_bg,statement
#L_L#_LL#_bg,statement
#H_H#_LH#_bg,statement
#L_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#H_H#_HH#_bg,question
#L_L#_HL#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_LL#_bg,statement
#H_H#_LH#_bg,question
#L_H#_LH#_bg,statement
#H_L#_LL#_bg,question
#H_L#_HL#_bg,statement
#L_L#_HL#_bg,statement
#L_H#_LH#_bg,statement
#L_H#_bg,question
#L_H#_LH#_bg,statement
#H_H#_LH#_bg,question
#H_L#_HL#_bg,question
#H_L#_HL#_bg,statement
#H_H#_LH#_bg,question
#L_L#_LL#_bg,statement
#H_H#_LH#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#H_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_H#_HH#_bg,statement
#L_H#_LH#_bg,statement
#H_L#_bg,statement
#H_H#_bg,question
#L_H#_HH#_bg,statement
#L_L#_HL#_bg,statement
#L_H#_HH#_bg,statement
#L_L#_HL#_bg,question
#L_L#_LL#_bg,statement
#H_L#_LL#_bg,statement
#L_L#_HL#_bg,statement
#H_H#_LH#_bg,statement
#L_L#_HL#_bg,statement
#L_H#_LH#_bg,statement
#L_H#_LH#_bg,statement
#H_H#_LH#_bg,question
#L_H#_HH#_bg,question
#L_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_HL#_bg,statement
#L_H#_LH#_bg,question
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#H_L#_LL#_bg,statement
#H_L#_LL#_bg,statement
#H_L#_LL#_bg,statement
#L_H#_LH#_bg,question
#L_H#_LH#_bg,statement
#L_bg,question
#L_L#_LL#_bg,statement
#H_L#_LL#_bg,statement
#L_H#_HH#_bg,question
#L_H#_LH#_bg,statement
#L_H#_LH#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_LL#_bg,question
#H_H#_LH#_bg,question
#H_H#_HH#_bg,statement
#H_L#_LL#_bg,statement
#H_H#_HH#_bg,statement
#H_L#_HL#_bg,question
#H_L#_LL#_bg,statement
#H_H#_HH#_bg,statement
#H_H#_LH#_bg,statement
#L_H#_bg,question
#L_L#_HL#_bg,question
#L_L#_LL#_bg,statement
#L_H#_LH#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_HL#_bg,statement
#L_L#_HL#_bg,statement
#L_L#_HL#_bg,statement
#H_H#_LH#_bg,question
#H_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
H#_LH#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_HL#_bg,statement
#H_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#H_L#_HL#_bg,statement
#L_L#_LL#_bg,statement
#L_L#_LL#_bg,statement
#L_H#_LH#_bg,question
#L_L#_HL#_bg,statement
#H_H#_HH#_bg,question
#H_bg,question
