"","question","statement"
"#H",0.2046864418592,-0.204686442052063
"bg",0.244446811947005,0.755553187526944
"L#",-0.0293862685327514,0.0293862686572545
"LL#",-0.138082029160731,0.138082029593852
"#L",0.0881173359966785,-0.0881173362883521
"#LH",-0.0585438995940755,0.0585439000003279
"#LHL",0.112273334581694,-0.112273334820865
"#LHLL",0.0399241016896097,-0.0399241016856821
"H#",0.273131724117092,-0.273131724008203
"HLH#",-0.00538072904199898,0.0053807310608117
"LH#",-0.0266700747518843,0.026670073472951
"#LL",0.0399509262980369,-0.0399509262717037
"#LLL",0.0315313488454873,-0.0315313485431363
"#LLLL",0.183857685482206,-0.183857687285245
"HH#",0.00191795121574257,-0.00191795108296273
"HHH#",0.0703983405623088,-0.0703983535837025
"HHHH#",0.0943480600452873,-0.0943480290506453
"#LLH",-0.188826420661964,0.188826420415041
"#LLHL",-0.030389605197743,0.0303896052699563
"HLLL#",0.197644702050158,-0.197644702266759
"LLL#",0.00464031531814057,-0.00464031446835621
"LLH#",-0.103621898778805,0.103621900229297
"LLLH#",-0.113305579803586,0.11330557923113
"HL#",0.214268001381283,-0.214268000462409
"HLL#",0.239752529646126,-0.239752533581119
"LHLL#",-0.144494776335487,0.144494779367524
"LHL#",-0.0286813497689275,0.0286813498931222
"#LHH",0.0971897632478931,-0.097189763203035
"#LHHL",0.0813851441476217,-0.0813851439176034
"#HL",0.113338406441504,-0.113338406485496
"#HLL",0.152359235759703,-0.15235923567142
"#HLLH",-0.136298225483794,0.136298224909242
"HLHH#",-0.0016521172387849,0.00165211668634067
"LHH#",0.0453784958440637,-0.0453784950720201
"HHL#",0.255451159650444,-0.255451155517378
"LHHL#",-0.0848856988481268,0.0848856952556111
"LLLL#",-0.121960885162519,0.121960885222935
"HLHL#",0.0402705335579313,-0.0402705347605243
"#LHLH",-0.066925707734869,0.0669257076177077
"#HH",0.0264049654329419,-0.0264049702538049
"#HHL",0.0187505614031903,-0.0187505570106021
"LHLH#",-0.0760379579816927,0.0760379572953258
"LLHL#",-0.177151542775519,0.177151542888501
"#HLH",-0.0276256198197602,0.0276256194638275
"#HLHL",-0.00164097789193861,0.00164097785773797
"LHHH#",0.0208755376247153,-0.0208755224357084
"#HHH",-0.121318818809787,0.121318928715681
"#HHLL",0.176349629437559,-0.176349628031087
"HHLL#",0.351489043358912,-0.351489039974901
"empty",-0.0401209266281609,0.0401209263930161
"#HHLH",-0.0203379398568905,0.0203379400408953
"#LHHH",0.0280274831163487,-0.028027483059796
"#LLHH",0.0126616774167535,-0.0126616773567149
"HLLH#",0.0683613707994914,-0.0683613708433525
"#LLLH",-0.194379422609297,0.194379422555297
"#HLHH",-0.0035725849255899,0.00357258626285283
"#HHHL",0.361941318270068,-0.361941435529858
"HHHL#",0.0960596469847583,-0.0960596562516124
"HHLH#",0.169812144518955,-0.169812146452384
"#HHHH",0.327545752776063,-0.327545914019274
"LLHH#",-0.0440157422770456,0.0440157417051919
"#HLLL",-0.0472466869535803,0.0472466872541102
