"","statement","question"
"bg",0.613103221933871,0.386896809235748
"L#",0.155864121746637,-0.155864273761867
"H#",-0.409179583420083,0.40917977589092
"HH#",0.0316871566323459,-0.0316867581163699
"HHH#",0.0413597474633672,-0.0413591434054138
"HHHH#",0.740765323782379,-0.740754274956579
"#H",-0.0677505621259647,0.0677508975483494
"#L",-0.364386819100965,0.364387159438478
"#LL",-0.0376776440501342,0.0376773279306641
"LL#",-0.00414711748440035,0.0041472068834392
"LLL#",-0.028687605016813,0.028687657520231
"#HH",-0.0698712572597556,0.069871068406209
"#HL",-0.322117586013428,0.322117520120178
"#HLL",-0.0494081772067688,0.0494082944724968
"LLLL#",-0.175344065627456,0.175344070796726
"LH#",0.100560162051616,-0.100560047587812
"#HHH",0.00906031691204201,-0.00906022787652925
"HL#",-0.493499469708998,0.493503774044509
"LLH#",-0.203643025894103,0.203642013615124
"#LLL",-0.0103390944154628,0.0103389168444128
"#HHHH",0.154926610342722,-0.154926625719859
"#LLLL",-0.011516495083419,0.011516718827936
"#HHL",-0.48317532757728,0.483178502388691
"LLLH#",0.00691738860423837,-0.00691442013096468
"LHHH#",-0.237816557094614,0.237794107235716
"LHL#",0.118703561943528,-0.118748828217671
"HHHL#",0.353350984327573,-0.353404113485329
"HHL#",0.148974195242467,-0.148970805067338
"#LH",0.474651849559552,-0.474666492399461
"HLL#",0.271125667852304,-0.271118866927268
"LHLL#",0.271125667852304,-0.271118866927268
"LLHL#",0.384917892638374,-0.384783913643749
